TicketID,ApartmentNumber,IssueDescription,Priority,DateReported,Status
552,364,Garage door malfunction,Medium,2025-06-29,Closed
553,350,Broken window,High,2025-08-21,Open
554,212,Garage door malfunction,Low,2025-05-22,Closed
555,200,Roof leak,Low,2025-09-18,In Progress
556,290,Clogged drain,Low,2025-04-06,Open
557,362,Light fixture flickering,Low,2025-03-07,Open
558,126,Pest control,Low,2025-07-26,Open
559,153,No hot water,High,2025-04-24,In Progress
560,136,Faulty door lock,Low,2025-11-13,In Progress
561,375,Faulty door lock,High,2025-07-19,Closed
562,308,Mold in bathroom,Low,2025-09-22,In Progress
563,359,Pest control,Low,2025-08-14,Open
564,207,Leaky faucet,Low,2025-02-27,Closed
565,159,Air conditioning not cooling,High,2025-12-29,Closed
566,361,Light fixture flickering,Low,2025-12-07,Open
567,365,Noise complaint,Medium,2025-05-29,Open
568,109,Doorbell not working,Low,2025-03-27,In Progress
569,366,Heater not working,Low,2025-10-01,Closed
570,128,Clogged drain,Low,2025-07-11,Closed
571,302,Noise complaint,Low,2025-05-13,In Progress
572,235,Mold in bathroom,High,2025-11-24,In Progress
573,148,Doorbell not working,Medium,2025-07-22,Open
574,247,Faulty door lock,Low,2025-12-27,In Progress
575,172,Pest control,Low,2025-06-21,Open
576,110,Heater not working,Medium,2025-07-23,Open
577,324,Leaky faucet,High,2025-05-04,Closed
578,253,Garage door malfunction,High,2025-06-15,In Progress
579,114,Roof leak,Medium,2025-07-30,Open
580,334,Roof leak,Low,2025-03-24,Open
581,146,Roof leak,High,2025-01-12,In Progress
582,385,Painting required,Low,2025-11-15,In Progress
583,232,Faulty door lock,Medium,2025-09-24,In Progress
584,176,Leaky faucet,Medium,2025-12-28,Open
585,208,Pest control,Low,2025-04-21,In Progress
586,375,Doorbell not working,Medium,2025-06-11,In Progress
587,396,Leaky faucet,Low,2025-06-11,Open
588,255,Light fixture flickering,Low,2025-09-18,Closed
589,269,Broken window,Low,2025-09-22,Open
590,357,Painting required,High,2025-01-01,Open
591,118,Light fixture flickering,Low,2025-05-24,In Progress
592,231,Heater not working,Low,2025-10-17,Closed
593,345,Garage door malfunction,Low,2025-01-25,In Progress
594,184,Doorbell not working,Low,2025-04-18,Open
595,235,Air conditioning not cooling,Medium,2025-04-27,Closed
596,357,Doorbell not working,Low,2025-03-20,In Progress
597,375,Broken window,Low,2025-12-15,In Progress
598,235,Faulty door lock,Low,2025-12-07,Open
599,229,Garage door malfunction,Low,2025-04-17,Closed
600,337,Pest control,Low,2025-07-15,Open
601,120,Roof leak,Medium,2025-10-16,Closed
602,318,Pest control,Low,2025-08-31,Open
603,330,Air conditioning not cooling,Medium,2025-11-05,Closed
604,316,Garage door malfunction,Medium,2025-08-15,Closed
605,252,Noise complaint,Low,2025-12-06,Closed
606,397,Roof leak,Medium,2025-05-15,Closed
607,199,Light fixture flickering,Low,2025-06-30,In Progress
608,199,Light fixture flickering,Medium,2025-07-09,Closed
609,149,Clogged drain,Low,2025-10-12,Closed
610,177,Noise complaint,Low,2025-06-15,Open
611,382,Roof leak,Low,2025-02-24,Closed
612,188,Air conditioning not cooling,Low,2025-09-24,Closed
613,342,Broken window,Medium,2025-03-22,Closed
614,130,Painting required,Medium,2025-09-21,Open
615,338,Faulty door lock,Medium,2025-10-26,Open
616,132,Mold in bathroom,Low,2025-03-27,In Progress
617,220,Heater not working,Low,2025-02-27,In Progress
618,393,Mold in bathroom,Low,2025-07-03,In Progress
619,356,Broken window,Low,2025-08-18,In Progress
620,320,Doorbell not working,Low,2025-06-22,Open
621,329,Pest control,Medium,2025-08-16,In Progress
622,245,Light fixture flickering,Medium,2025-04-10,In Progress
623,212,Faulty door lock,Low,2025-05-11,Open
624,321,Leaky faucet,High,2025-10-21,Open
625,238,Air conditioning not cooling,High,2025-04-20,Open
626,137,Mold in bathroom,Low,2025-08-07,In Progress
627,353,Air conditioning not cooling,Low,2025-03-10,Closed
628,382,Garage door malfunction,High,2025-01-14,In Progress
629,274,Clogged drain,Medium,2025-04-15,In Progress
630,332,Doorbell not working,Medium,2025-03-12,Closed
631,343,Air conditioning not cooling,Low,2025-07-24,Open
632,253,Roof leak,Low,2025-05-01,In Progress
633,115,Air conditioning not cooling,Low,2025-07-10,In Progress
634,251,Garage door malfunction,Low,2025-03-06,Closed
635,102,Clogged drain,Medium,2025-07-15,Open
636,207,Air conditioning not cooling,Low,2025-12-31,In Progress
637,188,Doorbell not working,Medium,2025-03-17,In Progress
638,112,Faulty door lock,Medium,2025-02-22,In Progress
639,281,Pest control,Low,2025-07-19,Closed
640,149,Heater not working,Low,2025-03-27,Closed
641,390,Light fixture flickering,Low,2025-05-20,Closed
642,119,Doorbell not working,Medium,2025-09-13,In Progress
643,155,Leaky faucet,Low,2025-11-18,Open
644,181,Broken window,Medium,2025-10-28,In Progress
645,210,Leaky faucet,Medium,2025-08-13,In Progress
646,131,Clogged drain,Low,2025-03-05,Closed
647,306,Air conditioning not cooling,Medium,2025-05-22,In Progress
648,202,Mold in bathroom,High,2025-04-18,Closed
649,308,Noise complaint,Medium,2025-09-17,Closed
650,133,Roof leak,Low,2025-03-21,Closed
651,352,Broken window,Low,2025-03-17,Closed
652,356,Heater not working,High,2025-03-07,Open
653,340,Air conditioning not cooling,Low,2025-02-21,Open
654,339,Faulty door lock,Low,2025-12-22,In Progress
655,275,Broken window,Low,2025-09-21,In Progress
656,161,No hot water,High,2025-09-17,Closed
657,256,Faulty door lock,Low,2025-04-17,In Progress
658,388,Heater not working,Medium,2025-04-05,Closed
659,242,Roof leak,Medium,2025-09-10,In Progress
660,263,Clogged drain,Low,2025-11-21,Open
661,188,Heater not working,Low,2025-01-05,Open
662,144,Clogged drain,High,2025-07-12,Closed
663,341,Heater not working,Low,2025-05-06,Open
664,320,Light fixture flickering,Low,2025-05-19,Open
665,167,Painting required,Low,2025-06-29,In Progress
666,228,Pest control,Low,2025-10-27,Closed
667,241,Clogged drain,Low,2025-09-30,Open
668,368,Roof leak,Low,2025-10-11,Open
669,245,Leaky faucet,Low,2025-07-26,In Progress
670,294,Clogged drain,Medium,2025-06-05,Open
671,331,Light fixture flickering,Medium,2025-09-28,In Progress
672,163,Noise complaint,Low,2025-05-28,Closed
673,147,Air conditioning not cooling,Medium,2025-08-23,Closed
674,327,Broken window,Low,2025-03-25,In Progress
675,207,Broken window,Low,2025-04-09,Closed
676,231,Garage door malfunction,High,2025-04-15,Closed
677,324,Broken window,High,2025-08-30,Closed
678,294,Noise complaint,Medium,2025-10-13,Open
679,322,Leaky faucet,High,2025-10-12,Open
680,316,Noise complaint,Medium,2025-05-13,Open
681,372,Doorbell not working,Low,2025-06-28,Open
682,275,Painting required,Low,2025-10-29,Open
683,262,Roof leak,Low,2025-07-11,Closed
684,165,Noise complaint,High,2025-11-24,Open
685,245,Light fixture flickering,Medium,2025-03-11,Closed
686,131,Roof leak,Low,2025-12-18,Open
687,273,Painting required,Low,2025-11-06,Open
688,177,Garage door malfunction,Low,2025-09-04,In Progress
689,129,Clogged drain,Medium,2025-08-23,Open
690,219,No hot water,Medium,2025-07-30,Closed
691,337,Painting required,Medium,2025-08-07,Closed
692,284,Roof leak,Medium,2025-04-10,In Progress
693,358,Broken window,High,2025-06-18,Open
694,278,Roof leak,Low,2025-06-15,In Progress
695,372,Air conditioning not cooling,Low,2025-07-01,Closed
696,132,No hot water,High,2025-05-07,Open
697,105,Clogged drain,Medium,2025-09-30,Open
698,332,Air conditioning not cooling,Medium,2025-04-22,In Progress
699,254,Mold in bathroom,Low,2025-03-08,In Progress
700,238,Painting required,Medium,2025-07-12,Closed
701,380,Light fixture flickering,Low,2025-06-04,In Progress
702,339,Heater not working,Medium,2025-09-27,Open
703,127,Broken window,Low,2025-06-17,In Progress
704,127,Roof leak,High,2025-03-19,In Progress
705,343,Heater not working,High,2025-09-09,Open
706,189,Clogged drain,Low,2025-01-30,In Progress
707,191,Air conditioning not cooling,Low,2025-02-20,In Progress
708,325,Garage door malfunction,Medium,2025-04-27,Open
709,114,Painting required,Low,2025-07-31,In Progress
710,294,Heater not working,Low,2025-02-25,Open
711,308,Light fixture flickering,Low,2025-06-27,Closed
712,222,Doorbell not working,Medium,2025-06-24,In Progress
713,339,Heater not working,High,2025-05-03,Closed
714,187,Garage door malfunction,Medium,2025-02-11,Open
715,396,No hot water,Medium,2025-08-09,Closed
716,328,Mold in bathroom,High,2025-01-28,In Progress
717,181,Doorbell not working,Low,2025-08-31,Closed
718,218,Noise complaint,Low,2025-05-24,Open
719,108,Noise complaint,High,2025-11-02,Closed
720,274,Faulty door lock,Low,2025-07-08,In Progress
721,271,Garage door malfunction,Medium,2025-07-12,In Progress
722,322,Leaky faucet,Medium,2025-03-14,Open
723,143,Garage door malfunction,High,2025-06-07,In Progress
724,342,Faulty door lock,Medium,2025-12-06,Open
725,354,Painting required,Medium,2025-11-09,In Progress
726,284,Heater not working,Medium,2025-06-20,Closed
727,228,Pest control,Low,2025-05-11,Open
728,323,Roof leak,High,2025-05-12,Open
729,347,Pest control,Low,2025-04-17,Closed
730,225,No hot water,Low,2025-12-30,Closed
731,261,Noise complaint,Low,2025-03-01,In Progress
732,396,Doorbell not working,High,2025-03-25,In Progress
733,250,Heater not working,Medium,2025-03-22,Closed
734,381,Painting required,High,2025-10-20,Closed
735,350,Leaky faucet,Low,2025-04-16,In Progress
736,177,Garage door malfunction,High,2025-06-07,Open
737,184,Faulty door lock,Low,2025-08-17,Closed
738,206,No hot water,Low,2025-11-03,Closed
739,392,Pest control,Low,2025-12-06,In Progress
740,206,Leaky faucet,Low,2025-08-20,In Progress
741,259,Doorbell not working,High,2025-12-08,Open
742,317,Pest control,High,2025-09-10,Open
743,196,Air conditioning not cooling,Low,2025-04-08,Closed
744,310,Roof leak,High,2025-11-08,Closed
745,287,No hot water,Low,2025-06-25,Open
746,144,Painting required,Low,2025-10-22,Closed
747,243,Heater not working,Medium,2025-11-01,Closed
748,359,Painting required,Low,2025-06-14,Open
749,227,Roof leak,Medium,2025-12-18,In Progress
750,118,No hot water,Medium,2025-05-31,Closed
751,114,Light fixture flickering,Medium,2025-04-29,Closed
752,145,Doorbell not working,High,2025-02-20,Closed
753,318,Faulty door lock,High,2025-06-27,Closed
754,121,Garage door malfunction,Low,2025-12-09,Closed
755,149,Pest control,Low,2025-09-01,Closed
756,210,Leaky faucet,Medium,2025-06-20,Closed
757,311,Broken window,Low,2025-01-17,Closed
758,170,No hot water,Medium,2025-01-17,Open
759,298,Heater not working,Medium,2025-06-27,Closed
760,319,Faulty door lock,Low,2025-06-25,In Progress
761,214,Painting required,Medium,2025-06-28,Closed
762,355,Leaky faucet,Medium,2025-07-19,Closed
763,179,Light fixture flickering,Medium,2025-11-16,Open
764,395,Light fixture flickering,Medium,2025-05-19,Open
765,259,Pest control,Low,2025-05-07,Closed
766,237,Light fixture flickering,Medium,2025-08-09,Closed
767,322,Pest control,Low,2025-05-26,Open
768,292,Heater not working,Medium,2025-01-11,Closed
769,125,Mold in bathroom,Low,2025-03-04,Closed
770,129,Noise complaint,Medium,2025-05-02,Open
771,274,Broken window,Low,2025-09-19,In Progress
772,386,Garage door malfunction,Low,2025-06-02,In Progress
773,195,Leaky faucet,Low,2025-10-15,Open
774,383,Air conditioning not cooling,High,2025-04-11,Open
775,154,Heater not working,Medium,2025-09-24,Closed
776,311,Light fixture flickering,High,2025-06-04,In Progress
777,216,Painting required,Low,2025-09-25,Closed
778,316,Light fixture flickering,Medium,2025-05-23,In Progress
779,333,Roof leak,Medium,2025-06-26,Closed
780,270,Light fixture flickering,Low,2025-10-15,Open
781,127,Noise complaint,Low,2025-03-09,In Progress
782,138,Clogged drain,Medium,2025-04-01,Closed
783,253,Air conditioning not cooling,Medium,2025-11-27,Open
784,128,Noise complaint,Low,2025-04-08,Open
785,170,Leaky faucet,Medium,2025-07-17,Closed
786,258,Broken window,Low,2025-10-27,In Progress
787,305,Roof leak,Medium,2025-03-23,In Progress
788,368,Broken window,Low,2025-08-04,Closed
789,164,Heater not working,Medium,2025-05-19,Closed
790,383,Air conditioning not cooling,Low,2025-02-21,Closed
791,143,Broken window,Medium,2025-01-17,Closed
792,244,Heater not working,Medium,2025-06-02,Open
793,185,No hot water,Medium,2025-08-11,Open
794,229,Garage door malfunction,High,2025-08-14,Closed
795,383,Broken window,High,2025-12-31,In Progress
796,281,Garage door malfunction,Medium,2025-09-28,Open
797,156,Mold in bathroom,Low,2025-05-08,Closed
798,342,Broken window,Low,2025-09-14,In Progress
799,161,Leaky faucet,Low,2025-09-15,Open
800,102,Roof leak,Low,2025-04-30,In Progress
801,304,Painting required,Medium,2025-09-25,Open
802,354,Clogged drain,High,2025-11-25,Closed
803,190,Clogged drain,Low,2025-12-05,In Progress
804,384,Garage door malfunction,Medium,2025-01-07,Open
805,264,Heater not working,Medium,2025-08-11,Closed
806,287,Air conditioning not cooling,Low,2025-03-22,Open
807,367,Faulty door lock,Low,2025-12-26,Open
808,345,No hot water,Low,2025-02-27,In Progress
809,266,Clogged drain,High,2025-08-31,Open
810,105,Faulty door lock,Medium,2025-10-17,Open
811,161,Mold in bathroom,Low,2025-09-14,Open
812,339,Broken window,Low,2025-01-10,Closed
813,293,Faulty door lock,Low,2025-03-27,In Progress
814,118,Heater not working,Low,2025-07-08,In Progress
815,328,Faulty door lock,Medium,2025-03-10,Open
816,309,Garage door malfunction,Low,2025-05-31,Closed
817,278,Air conditioning not cooling,Medium,2025-11-01,In Progress
818,357,Heater not working,Low,2025-07-03,Open
819,323,Air conditioning not cooling,High,2025-01-22,Open
820,160,Garage door malfunction,High,2025-10-15,In Progress
821,291,Noise complaint,Low,2025-09-29,In Progress
822,179,Mold in bathroom,High,2025-07-01,In Progress
823,144,Faulty door lock,High,2025-10-20,Closed
824,146,Leaky faucet,High,2025-01-04,In Progress
825,151,Pest control,Medium,2025-09-29,Open
826,208,Faulty door lock,Low,2025-01-05,Closed
827,218,Broken window,Low,2025-09-05,Open
828,308,Air conditioning not cooling,Low,2025-04-12,Open
829,369,Painting required,Low,2025-10-14,Closed
830,102,Light fixture flickering,Low,2025-05-28,Open
831,306,Broken window,Medium,2025-03-30,In Progress
832,383,Heater not working,Medium,2025-11-04,Open
833,368,Heater not working,Low,2025-02-07,In Progress
834,231,Clogged drain,Low,2025-05-26,Closed
835,227,Clogged drain,Low,2025-01-29,Open
836,181,Garage door malfunction,Low,2025-03-18,Closed
837,135,Pest control,High,2025-05-06,Closed
838,333,Mold in bathroom,Low,2025-06-30,In Progress
839,277,Mold in bathroom,Low,2025-03-31,In Progress
840,351,Clogged drain,Low,2025-04-29,Closed
841,268,Pest control,Low,2025-12-11,In Progress
842,293,Painting required,Medium,2025-06-04,Closed
843,146,Clogged drain,High,2025-05-18,In Progress
844,245,Roof leak,Low,2025-10-14,Closed
845,174,Mold in bathroom,Medium,2025-12-03,In Progress
846,265,Pest control,Medium,2025-02-09,Closed
847,396,Garage door malfunction,High,2025-05-13,Closed
848,378,Painting required,Low,2025-01-25,Closed
849,380,Doorbell not working,Low,2025-01-22,Open
850,151,Roof leak,Low,2025-05-08,In Progress
851,274,Painting required,Medium,2025-06-16,Open
852,189,Faulty door lock,High,2025-06-22,Open
853,122,Garage door malfunction,High,2025-03-20,In Progress
854,390,Mold in bathroom,Low,2025-04-03,Closed
855,333,Light fixture flickering,Medium,2025-03-30,Open
856,317,Broken window,Medium,2025-05-28,In Progress
857,361,Mold in bathroom,Medium,2025-03-02,In Progress
858,246,Painting required,Medium,2025-04-30,In Progress
859,110,Air conditioning not cooling,Low,2025-10-05,Open
860,195,Air conditioning not cooling,High,2025-05-09,Open
861,193,Light fixture flickering,Low,2025-07-18,Open
862,321,Pest control,Low,2025-02-06,Open
863,181,Heater not working,High,2025-01-16,In Progress
864,320,Painting required,Low,2025-03-17,Closed
865,179,No hot water,Low,2025-12-27,In Progress
866,382,Mold in bathroom,Low,2025-10-03,Open
867,271,Faulty door lock,Low,2025-06-17,Open
868,385,Garage door malfunction,Low,2025-02-14,Open
869,292,Faulty door lock,High,2025-09-13,Closed
870,113,Garage door malfunction,Low,2025-09-26,In Progress
871,253,Faulty door lock,Medium,2025-09-30,In Progress
872,278,Noise complaint,Low,2025-05-03,Open
873,373,Leaky faucet,Low,2025-06-29,In Progress
874,307,Mold in bathroom,Low,2025-10-31,In Progress
875,213,Mold in bathroom,High,2025-07-28,In Progress
876,391,No hot water,Medium,2025-07-06,Closed
877,180,Light fixture flickering,Medium,2025-01-14,Closed
878,139,Faulty door lock,Low,2025-10-23,In Progress
879,249,Painting required,High,2025-03-24,Open
880,243,Heater not working,Low,2025-09-02,Closed
881,193,Painting required,High,2025-11-07,Open
882,212,Heater not working,High,2025-11-25,Open
883,362,Roof leak,Low,2025-04-23,In Progress
884,276,Clogged drain,Low,2025-08-01,Open
885,325,Clogged drain,High,2025-12-25,In Progress
886,325,Painting required,Low,2025-07-20,Open
887,328,No hot water,Low,2025-08-18,In Progress
888,306,Light fixture flickering,High,2025-04-11,In Progress
889,292,Faulty door lock,Medium,2025-04-23,Closed
890,215,Mold in bathroom,Low,2025-01-01,Closed
891,326,Roof leak,Medium,2025-03-08,Closed
892,142,Mold in bathroom,Low,2025-03-31,In Progress
893,394,Air conditioning not cooling,Low,2025-03-19,Open
894,244,Noise complaint,Medium,2025-03-24,In Progress
895,366,Air conditioning not cooling,Low,2025-04-30,Open
896,335,Broken window,Low,2025-11-11,In Progress
897,151,Noise complaint,Medium,2025-02-21,Open
898,271,Air conditioning not cooling,High,2025-03-30,In Progress
899,285,Light fixture flickering,Low,2025-10-12,In Progress
900,385,Clogged drain,High,2025-01-03,Open
901,272,Painting required,Medium,2025-04-10,Open
902,224,Mold in bathroom,Medium,2025-01-14,Open
903,332,Light fixture flickering,Low,2025-06-12,In Progress
904,351,Roof leak,Low,2025-06-14,Open
905,210,Broken window,Medium,2025-04-09,In Progress
906,292,Pest control,Low,2025-05-27,Open
907,155,Noise complaint,Low,2025-02-10,In Progress
908,229,Roof leak,Medium,2025-10-19,Open
909,397,Broken window,Medium,2025-09-22,Closed
910,268,Doorbell not working,High,2025-03-04,In Progress
911,310,Painting required,Medium,2025-09-24,Open
912,202,Air conditioning not cooling,Low,2025-03-29,Closed
913,304,Garage door malfunction,Low,2025-02-07,Open
914,360,Heater not working,Low,2025-03-14,In Progress
915,191,No hot water,High,2025-03-08,In Progress
916,331,Noise complaint,Medium,2025-07-27,In Progress
917,176,Heater not working,Low,2025-02-03,In Progress
918,315,Noise complaint,Low,2025-11-23,Closed
919,334,Broken window,Medium,2025-09-04,Open
920,279,Leaky faucet,Low,2025-02-27,In Progress
921,295,No hot water,High,2025-06-18,Closed
922,207,Clogged drain,Low,2025-07-18,Open
923,225,Mold in bathroom,High,2025-06-06,Open
924,238,Air conditioning not cooling,Medium,2025-04-25,Open
925,245,Air conditioning not cooling,High,2025-11-20,In Progress
926,266,Air conditioning not cooling,Low,2025-01-21,Open
927,312,Garage door malfunction,High,2025-03-27,Open
928,205,Painting required,Medium,2025-01-30,In Progress
929,253,Heater not working,High,2025-08-06,Open
930,283,Doorbell not working,High,2025-10-31,Open
931,112,Leaky faucet,Low,2025-02-03,In Progress
932,285,Broken window,Low,2025-03-06,In Progress
933,279,Broken window,Low,2025-06-23,Open
934,238,Noise complaint,Medium,2025-10-19,Open
935,319,Doorbell not working,Low,2025-05-20,Open
936,132,Doorbell not working,Medium,2025-12-15,Open
937,183,Heater not working,Medium,2025-11-04,Closed
938,342,Light fixture flickering,High,2025-05-19,In Progress
939,165,Faulty door lock,Low,2025-02-20,Closed
940,248,Broken window,Low,2025-06-23,Closed
941,272,Faulty door lock,Low,2025-04-20,Open
942,163,No hot water,High,2025-08-06,Open
943,254,No hot water,Medium,2025-07-23,Closed
944,312,Painting required,Low,2025-11-10,Open
945,183,Faulty door lock,Low,2025-09-12,Open
946,318,Heater not working,Low,2025-02-21,In Progress
947,192,Air conditioning not cooling,Low,2025-02-01,In Progress
948,165,Doorbell not working,Low,2025-04-21,In Progress
949,148,Painting required,Low,2025-05-03,Closed
950,396,Leaky faucet,Low,2025-04-13,Closed
951,354,Pest control,Medium,2025-05-10,Closed
952,396,Pest control,Medium,2025-01-28,In Progress
953,161,Light fixture flickering,Medium,2025-12-31,Open
954,293,Light fixture flickering,Medium,2025-04-17,Closed
955,156,Noise complaint,High,2025-05-09,In Progress
956,384,Noise complaint,Low,2025-06-19,Closed
957,301,Broken window,Low,2025-09-03,Open
958,133,Faulty door lock,Low,2025-12-05,Closed
959,247,Heater not working,Medium,2025-11-08,Open
960,356,Air conditioning not cooling,High,2025-09-17,Open
961,150,Mold in bathroom,High,2025-05-24,In Progress
962,123,Noise complaint,Medium,2025-03-10,Open
963,247,Leaky faucet,Low,2025-06-24,Closed
964,121,Broken window,Low,2025-04-09,Open
965,297,Painting required,Low,2025-11-11,In Progress
966,392,Pest control,Low,2025-03-06,Closed
967,294,Light fixture flickering,Medium,2025-04-23,Open
968,229,Mold in bathroom,Medium,2025-10-18,In Progress
969,201,Leaky faucet,High,2025-12-15,In Progress
970,318,Clogged drain,Medium,2025-02-26,Closed
971,367,Garage door malfunction,Low,2025-03-30,Open
972,136,Painting required,High,2025-04-11,In Progress
973,293,No hot water,Low,2025-06-12,In Progress
974,211,Garage door malfunction,Low,2025-05-21,Closed
975,240,Faulty door lock,High,2025-06-28,Open
976,219,Pest control,High,2025-10-17,Open
977,254,Air conditioning not cooling,Low,2025-01-14,In Progress
978,141,Pest control,Medium,2025-09-27,Open
979,135,Doorbell not working,High,2025-06-16,Closed
980,253,Roof leak,High,2025-12-09,Closed
981,160,Mold in bathroom,Medium,2025-10-11,In Progress
982,259,No hot water,High,2025-07-18,Closed
983,326,Light fixture flickering,Medium,2025-12-18,In Progress
984,299,Heater not working,Medium,2025-03-18,In Progress
985,351,Faulty door lock,Low,2025-09-04,Open
986,206,Mold in bathroom,Low,2025-07-04,Closed
987,189,Leaky faucet,Low,2025-01-30,Closed
988,336,Doorbell not working,Medium,2025-08-23,In Progress
989,383,Painting required,High,2025-07-29,In Progress
990,187,Painting required,Low,2025-01-27,Open
991,272,Broken window,Low,2025-04-25,Open
992,259,Broken window,Low,2025-11-22,Closed
993,271,No hot water,Medium,2025-12-30,Closed
994,317,Clogged drain,High,2025-07-21,Closed
995,152,Noise complaint,Medium,2025-10-08,Open
996,378,Garage door malfunction,Low,2025-03-12,Closed
997,124,No hot water,Medium,2025-07-09,Closed
998,258,Leaky faucet,Medium,2025-09-14,In Progress
999,164,Clogged drain,High,2025-02-22,Open
1000,389,Broken window,Low,2025-12-29,Closed
1001,134,Roof leak,Medium,2025-01-10,Closed
1002,259,Light fixture flickering,Low,2025-09-23,Closed
1003,112,No hot water,Low,2025-09-30,Open
1004,332,Garage door malfunction,Medium,2025-10-07,Closed
1005,210,Air conditioning not cooling,Low,2025-12-15,Closed
1006,326,Roof leak,High,2025-06-10,Closed
1007,117,No hot water,Low,2025-01-06,In Progress
1008,115,No hot water,Low,2025-02-22,Closed
1009,233,Painting required,Low,2025-02-14,Open
1010,175,Leaky faucet,Low,2025-11-20,Closed
1011,323,Noise complaint,Medium,2025-06-26,In Progress
1012,399,Garage door malfunction,Low,2025-03-23,In Progress
1013,368,Doorbell not working,Medium,2025-08-26,Closed
1014,371,Mold in bathroom,High,2025-06-03,Closed
1015,114,Broken window,Low,2025-12-11,Open
1016,290,Light fixture flickering,Low,2025-09-17,Open
1017,255,Garage door malfunction,Medium,2025-10-17,In Progress
1018,108,Light fixture flickering,High,2025-12-26,Open
1019,284,Doorbell not working,Low,2025-05-10,In Progress
1020,390,Noise complaint,Low,2025-02-07,Open
1021,102,No hot water,Low,2025-10-09,Open
1022,140,Clogged drain,Medium,2025-08-07,Closed
1023,191,Pest control,Medium,2025-07-05,Closed
1024,314,No hot water,Low,2025-11-06,Closed
1025,375,Noise complaint,Low,2025-11-03,Open
1026,282,Light fixture flickering,Medium,2025-04-18,Open
1027,356,Pest control,High,2025-06-14,Closed
1028,299,Doorbell not working,Low,2025-07-31,Open
1029,143,Painting required,Low,2025-02-06,In Progress
1030,347,Noise complaint,Low,2025-02-01,In Progress
1031,106,Light fixture flickering,Medium,2025-04-12,Closed
1032,165,Leaky faucet,Medium,2025-08-11,Closed
1033,106,Mold in bathroom,Low,2025-08-13,Open
1034,305,No hot water,Low,2025-01-21,Open
1035,184,Mold in bathroom,Low,2025-11-19,In Progress
1036,356,Light fixture flickering,Medium,2025-08-11,Closed
1037,330,Heater not working,Low,2025-03-05,In Progress
1038,119,No hot water,Low,2025-04-01,Closed
1039,155,Broken window,Low,2025-03-09,In Progress
1040,348,Air conditioning not cooling,Medium,2025-12-06,Open
1041,326,Garage door malfunction,Low,2025-06-05,Open
1042,268,Painting required,Low,2025-10-01,Closed
1043,246,Broken window,Low,2025-02-26,In Progress
1044,258,Mold in bathroom,Low,2025-06-26,Open
1045,324,No hot water,Low,2025-01-12,Closed
1046,346,Pest control,Low,2025-12-25,Open
1047,224,Air conditioning not cooling,High,2025-02-18,Closed
1048,253,Roof leak,Medium,2025-11-03,In Progress
1049,382,Garage door malfunction,Medium,2025-12-05,In Progress
1050,117,Noise complaint,Low,2025-07-08,Open
1051,288,Doorbell not working,Low,2025-06-14,Closed
1052,174,Air conditioning not cooling,Medium,2025-04-25,In Progress
1053,116,Painting required,High,2025-03-07,Closed
1054,212,Painting required,Low,2025-06-22,Open
1055,143,Heater not working,Low,2025-07-24,Closed
1056,332,Painting required,Low,2025-10-12,In Progress
1057,272,Clogged drain,Low,2025-06-21,In Progress
1058,352,Heater not working,Medium,2025-11-18,Open
1059,177,Noise complaint,Low,2025-02-20,Open
1060,264,Heater not working,Low,2025-06-03,Open
1061,255,No hot water,Low,2025-06-20,In Progress
1062,269,Leaky faucet,Medium,2025-01-03,In Progress
1063,251,Light fixture flickering,High,2025-04-28,Closed
1064,383,No hot water,High,2025-02-15,Closed
1065,226,Heater not working,Medium,2025-08-04,Open
1066,274,Noise complaint,Low,2025-02-04,Open
1067,121,Faulty door lock,Low,2025-02-10,Open
1068,157,Noise complaint,Low,2025-04-27,In Progress
1069,350,Pest control,Medium,2025-11-13,Open
1070,153,Noise complaint,Low,2025-01-16,Open
1071,190,Doorbell not working,Medium,2025-05-24,Open
1072,262,Garage door malfunction,Medium,2025-12-22,Closed
1073,308,Broken window,Low,2025-05-16,Closed
1074,336,Roof leak,High,2025-03-15,Open
1075,183,Roof leak,Low,2025-03-09,Open
1076,354,Faulty door lock,High,2025-12-06,Open
1077,144,Doorbell not working,Low,2025-04-26,Open
1078,245,Pest control,Low,2025-02-19,In Progress
1079,351,Clogged drain,High,2025-06-24,Closed
1080,194,Leaky faucet,Low,2025-03-18,Open
1081,252,Faulty door lock,Low,2025-06-07,Closed
1082,281,Heater not working,High,2025-02-24,In Progress
1083,252,Light fixture flickering,Low,2025-02-07,In Progress
1084,303,Doorbell not working,Medium,2025-12-28,Closed
1085,268,Doorbell not working,Low,2025-12-16,In Progress
1086,275,Faulty door lock,Low,2025-07-03,Open
1087,248,Doorbell not working,Low,2025-03-22,Open
1088,121,No hot water,Low,2025-08-17,Closed
1089,311,No hot water,Low,2025-03-20,Open
1090,279,Painting required,Medium,2025-04-06,Closed
1091,397,Painting required,High,2025-01-06,Closed
1092,260,Faulty door lock,Low,2025-04-09,Open
1093,297,Broken window,Medium,2025-08-10,Open
1094,288,Leaky faucet,Low,2025-08-14,Open
1095,291,No hot water,Low,2025-03-19,Closed
1096,135,Garage door malfunction,Medium,2025-12-23,In Progress
1097,271,Air conditioning not cooling,Medium,2025-05-05,Open
1098,327,Broken window,Medium,2025-01-19,In Progress
1099,168,Clogged drain,Low,2025-05-31,Closed
